loan_id,borrower_name,payment_date,scheduled_payment_amount,actual_payment_amount,payment_type,payment_status,bank_reference_id,pool_id,remittance_id,remittance_date,remittance_amount,trust_account_id,match_type,variance,reconciliation_status,discrepancy_category,severity,recommended_action
LN-000024,Tommy Walter,2026-02-14,18634.91,18634.91,Principal,Posted,606636E32D82,POOL-F,,,,,UNMATCHED,18634.91,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000026,Judy Baker,2025-12-19,39366.21,39366.21,Principal,Posted,042B16322A48,POOL-A,,,,,UNMATCHED,39366.21,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000027,Justin Baker,2025-10-15,10383.85,10383.85,Escrow,Posted,81534774FA0B,POOL-E,,,,,UNMATCHED,10383.85,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000030,Anthony Rodriguez,2026-01-10,2799.3,2799.3,Interest,Posted,3971EDEBF022,POOL-F,,,,,UNMATCHED,2799.3,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000031,Rebecca Henderson,2025-08-09,30573.47,30573.47,Principal,Pending,7863F535AEA4,POOL-A,,,,,UNMATCHED,30573.47,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000032,James Ferrell,2025-03-22,8940.94,8940.94,Interest,Posted,15A91679C0BD,POOL-A,,,,,UNMATCHED,8940.94,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000033,Tricia Valencia,2025-06-04,3720.05,3720.05,Principal,Pending,6DBF5FD3D4C3,POOL-E,,,,,UNMATCHED,3720.05,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000034,Nathan Maldonado,2026-03-07,47469.83,0.0,Fee,Posted,032DB58319DC,POOL-C,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000039,Elizabeth Fowler,2025-07-05,34369.53,34369.53,Fee,Reversed,60620BD467A1,POOL-E,REM-000534,2025-07-05,34369.53,TRU-001,EXACT,0.0,REVERSED,OTHER,Low,Manual review required
LN-000043,Sherry Decker,2025-09-25,2202.23,2202.23,Escrow,Reversed,368CCFC8CCC0,POOL-F,REM-000694,2025-09-26,2202.23,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000044,Anthony Humphrey,2025-05-03,45511.36,45511.36,Escrow,Posted,8911346C96A9,POOL-F,,,,,UNMATCHED,45511.36,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000045,Angelica Tucker,2025-09-14,13309.61,10881.92,Interest,Pending,5414DF2811D8,POOL-D,,,,,UNMATCHED,10881.92,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000046,Philip Cannon,2025-09-07,33294.85,33294.85,Escrow,Pending,D7062709547E,POOL-B,,,,,UNMATCHED,33294.85,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000049,Joshua Blair,2025-04-06,27562.16,27562.16,Fee,Posted,7D36C3075666,POOL-D,,,,,UNMATCHED,27562.16,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000052,Danny Morgan,2025-05-17,38869.07,0.0,Escrow,Posted,DB8CAC02F5CD,POOL-E,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000053,Crystal Robinson,2025-09-24,47005.2,47005.2,Interest,Posted,13F2F88F9F70,POOL-E,,,,,UNMATCHED,47005.2,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000057,Timothy Duncan,2026-01-30,4880.38,4880.38,Interest,Posted,E755981CE61F,POOL-C,,,,,UNMATCHED,4880.38,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000059,Brent Jordan,2025-09-16,2738.75,3530.72,Principal,Posted,2E170A471325,POOL-C,,,,,UNMATCHED,3530.72,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000060,John Daniel,2026-01-04,16603.85,16603.85,Escrow,Pending,6951ACDB92FB,POOL-B,,,,,UNMATCHED,16603.85,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000062,Gerald Hensley,2026-03-10,13931.78,13931.78,Escrow,Posted,2B0E33EFBF92,POOL-A,,,,,UNMATCHED,13931.78,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000063,Connor West,2025-04-19,41522.51,53067.06,Escrow,Posted,A7B9EF565E66,POOL-F,,,,,UNMATCHED,53067.06,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000064,Donald Wright,2025-04-07,18159.29,21547.24,Principal,Posted,CCED3C894303,POOL-B,,,,,UNMATCHED,21547.24,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000066,Amber Kidd,2025-07-09,27363.46,27363.46,Escrow,Reversed,B329E5A2D4D2,POOL-D,,,,,UNMATCHED,27363.46,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000068,Carol Tucker,2025-04-26,40208.75,40208.75,Interest,Posted,0446A3C1CAEC,POOL-D,,,,,UNMATCHED,40208.75,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000070,William Baker,2025-05-05,49350.9,49350.9,Interest,Posted,1CDDD0EE9486,POOL-A,,,,,UNMATCHED,49350.9,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000071,Jordan Henderson,2025-09-25,38726.12,38726.12,Interest,Posted,F61EB641C21E,POOL-B,,,,,UNMATCHED,38726.12,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000072,Whitney Peters,2025-08-04,10336.43,10336.43,Principal,Posted,D1EF6469B879,POOL-E,,,,,UNMATCHED,10336.43,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000074,Lauren Daniels,2026-02-07,40865.34,40865.34,Principal,Posted,DCA2F5EEFC59,POOL-C,,,,,UNMATCHED,40865.34,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000077,Angela Lopez,2025-09-20,38677.88,38677.88,Principal,Reversed,F51EE25866C4,POOL-D,REM-002179,2025-09-20,38677.88,TRU-008,EXACT,0.0,REVERSED,OTHER,Low,Manual review required
LN-000079,Steve Sanchez,2025-06-30,18244.05,18244.05,Interest,Posted,BC14B02EEB72,POOL-F,,,,,UNMATCHED,18244.05,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000081,Kelly Donovan,2025-07-29,43223.62,0.0,Principal,Posted,66A93D33026D,POOL-D,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000083,Michael Evans,2026-02-27,16879.45,16879.45,Interest,Posted,F6FEF48DE070,POOL-F,,,,,UNMATCHED,16879.45,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000085,Zachary Ferrell,2025-04-20,15893.62,15893.62,Fee,Posted,2450ED0CB41E,POOL-A,,,,,UNMATCHED,15893.62,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000088,Christopher Bass,2025-06-10,32059.09,32059.09,Escrow,Posted,6D4CB0DBE273,POOL-E,,,,,UNMATCHED,32059.09,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000089,Lisa Archer,2025-12-13,44417.03,44417.03,Escrow,Posted,0A8EDA83BEF4,POOL-C,,,,,UNMATCHED,44417.03,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000094,Christina Walters,2025-07-31,28283.22,28283.22,Interest,Pending,99F1E36D60A4,POOL-A,,,,,UNMATCHED,28283.22,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000097,Aaron Wise,2025-12-25,26375.28,26375.28,Escrow,Posted,9793730869FB,POOL-E,,,,,UNMATCHED,26375.28,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000098,Deborah Figueroa,2025-07-05,21663.28,21663.28,Fee,Reversed,0A6E3E3698F0,POOL-D,REM-001156,2025-07-08,21663.28,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000100,Stephen Mckee,2025-08-28,5840.63,0.0,Fee,Posted,12D1A8378865,POOL-E,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000101,Sandra Aguilar,2025-04-12,2055.74,2055.74,Interest,Posted,E6D30ABC6077,POOL-F,,,,,UNMATCHED,2055.74,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000103,Rebecca Valencia,2025-03-31,16060.62,16060.62,Fee,Posted,029F10359B11,POOL-F,,,,,UNMATCHED,16060.62,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000105,Richard Henson,2025-10-06,45424.54,54623.88,Fee,Reversed,7000AD98A14B,POOL-B,REM-002133,2025-10-09,54623.88,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000106,Marc Moore,2025-08-02,12839.97,12839.97,Fee,Reversed,B49E208CF569,POOL-C,REM-001557,2025-08-04,12839.97,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000109,Evelyn Galvan,2026-01-03,11825.51,11825.51,Fee,Reversed,CD2DCA32DA84,POOL-F,,,,,UNMATCHED,11825.51,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000110,Sharon Cochran,2025-08-23,4310.51,5127.45,Principal,Posted,D845673E1E3A,POOL-A,,,,,UNMATCHED,5127.45,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000112,Shannon Walker,2026-02-13,8480.45,7833.12,Fee,Posted,4E287D987A42,POOL-C,,,,,UNMATCHED,7833.12,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000114,Crystal Johnson,2025-10-03,40501.96,40501.96,Interest,Posted,F6BF832F98DF,POOL-C,,,,,UNMATCHED,40501.96,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000115,Garrett Lin,2026-02-07,31853.49,31853.49,Principal,Posted,FCA9834DBEE0,POOL-F,,,,,UNMATCHED,31853.49,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000121,Larry Dixon,2025-12-27,40468.29,40468.29,Escrow,Posted,47CFC72FB027,POOL-F,,,,,UNMATCHED,40468.29,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000122,Kenneth Scott,2025-12-20,44856.52,44856.52,Fee,Posted,7D3F96EF3BDA,POOL-E,,,,,UNMATCHED,44856.52,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000123,April Frost,2025-07-27,16241.17,16241.17,Fee,Reversed,23B1AFB6CE7F,POOL-A,REM-002176,2025-07-27,16241.17,TRU-001,EXACT,0.0,REVERSED,OTHER,Low,Manual review required
LN-000124,Michelle Harmon,2026-01-08,5947.57,5947.57,Escrow,Reversed,6A5580048543,POOL-A,REM-002082,2026-01-12,5947.57,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000125,Helen Jones,2025-10-25,11782.79,11782.79,Escrow,Posted,22DBE54B2B52,POOL-D,,,,,UNMATCHED,11782.79,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000129,Cameron Fisher,2025-07-05,844.13,844.13,Interest,Reversed,F88D3AC57D0B,POOL-F,REM-001744,2025-07-09,844.13,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000133,Mary Marshall,2025-04-30,6433.34,5214.92,Fee,Posted,34827CEA7023,POOL-D,,,,,UNMATCHED,5214.92,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000135,Rebecca Jackson,2025-05-10,47174.03,47174.03,Fee,Posted,0667AED65177,POOL-E,,,,,UNMATCHED,47174.03,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000136,Jose Schultz,2025-06-01,16498.55,16498.55,Interest,Posted,69BBBBC41550,POOL-C,,,,,UNMATCHED,16498.55,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000140,Angel Perry,2025-10-17,48603.21,48603.21,Interest,Posted,9D8E0E7653F3,POOL-A,,,,,UNMATCHED,48603.21,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000141,Cheyenne Horton,2026-01-14,48141.14,48141.14,Principal,Posted,69A9A9A6E9AC,POOL-E,,,,,UNMATCHED,48141.14,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000142,David Douglas Jr.,2025-04-16,12963.22,14638.85,Escrow,Posted,02889B26906E,POOL-B,,,,,UNMATCHED,14638.85,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000144,Christopher Rubio,2025-09-26,15393.48,15393.48,Interest,Posted,E9DAAE7B1F26,POOL-A,,,,,UNMATCHED,15393.48,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000145,Amber Wright,2026-01-14,14599.6,17375.3,Fee,Reversed,5673F5D84FCD,POOL-F,,,,,UNMATCHED,17375.3,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000150,Stephanie Manning,2025-03-20,14293.0,14293.0,Principal,Pending,D284741A6A04,POOL-F,,,,,UNMATCHED,14293.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000151,David Wright,2026-02-26,45459.16,45459.16,Fee,Posted,55D59EFDE709,POOL-F,,,,,UNMATCHED,45459.16,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000152,Pamela Boyd,2025-05-12,12358.31,12358.31,Interest,Pending,352F7730F579,POOL-E,,,,,UNMATCHED,12358.31,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000153,Denise Jones,2026-02-27,7672.3,7672.3,Principal,Posted,6A0BE420818C,POOL-C,,,,,UNMATCHED,7672.3,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000156,Michelle Brown,2026-02-06,12481.74,12481.74,Escrow,Pending,B02AFB10AF30,POOL-A,,,,,UNMATCHED,12481.74,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000157,Joshua Perry,2025-09-05,33770.71,33770.71,Fee,Posted,C33C186CB48F,POOL-F,,,,,UNMATCHED,33770.71,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000158,Jason Stein,2025-05-11,38200.17,38200.17,Principal,Posted,53689F5B53F6,POOL-C,,,,,UNMATCHED,38200.17,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000160,Jamie Smith,2025-10-23,36546.71,36546.71,Interest,Reversed,70D7FF8B544A,POOL-B,REM-001322,2025-10-23,36546.71,TRU-006,EXACT,0.0,REVERSED,DUPLICATE,Low,Review for potential double-posting; reverse if confirmed
LN-000160,Jamie Smith,2025-10-23,36546.71,36546.71,Interest,Reversed,70D7FF8B544A,POOL-B,REM-001933,2025-10-23,36546.71,TRU-004,EXACT,0.0,REVERSED,DUPLICATE,Low,Review for potential double-posting; reverse if confirmed
LN-000161,Paul Castaneda,2025-06-03,18705.27,18705.27,Fee,Posted,F481BE73BF64,POOL-F,,,,,UNMATCHED,18705.27,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000163,Lindsey Walker,2025-03-16,31859.72,31859.72,Principal,Pending,941D2E0B6728,POOL-D,,,,,UNMATCHED,31859.72,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000167,Alyssa Long,2025-11-29,16378.61,18375.94,Fee,Posted,A9FBE331DA56,POOL-E,,,,,UNMATCHED,18375.94,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000168,Alyssa Day,2025-05-08,9732.67,9732.67,Interest,Reversed,C310898FBC5F,POOL-C,REM-001133,2025-05-10,9732.67,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000169,Joel Williams,2026-01-29,2518.37,2518.37,Escrow,Pending,35EFA7835E6C,POOL-D,,,,,UNMATCHED,2518.37,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000171,Jamie Walton,2026-02-05,34039.44,34039.44,Interest,Reversed,0680C5F0DFAD,POOL-E,,,,,UNMATCHED,34039.44,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000174,Matthew Harrington,2025-06-24,11711.54,11711.54,Interest,Posted,1F71C77DBA84,POOL-E,,,,,UNMATCHED,11711.54,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000175,Nicole Herring,2025-06-01,32436.05,32436.05,Fee,Posted,CA633E9EBA4E,POOL-D,,,,,UNMATCHED,32436.05,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000176,Alex Hernandez,2025-09-22,9131.14,9131.14,Interest,Posted,EDBC9AFB3B64,POOL-B,,,,,UNMATCHED,9131.14,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000177,Michael Elliott,2025-06-05,34701.42,34701.42,Interest,Reversed,010FBECCE99D,POOL-E,,,,,UNMATCHED,34701.42,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000178,Michael Wang,2025-12-16,19643.4,0.0,Principal,Pending,A91748B7E753,POOL-C,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000179,Lawrence Adkins,2025-12-11,46868.13,0.0,Escrow,Posted,283515AEA3D2,POOL-B,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000180,Robert Oconnell,2025-03-15,7307.29,7307.29,Escrow,Posted,6AAAF69B4F37,POOL-C,,,,,UNMATCHED,7307.29,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000182,Tina Sanders,2025-08-27,6116.94,6116.94,Principal,Reversed,237E8D6B223F,POOL-C,REM-001072,2025-08-29,6116.94,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000184,Ashley Barton,2025-03-24,43928.3,43928.3,Fee,Posted,DA72F1B76B34,POOL-E,,,,,UNMATCHED,43928.3,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000185,Lindsay Martinez,2025-05-11,13268.11,13268.11,Interest,Pending,CADEAD28DE03,POOL-F,,,,,UNMATCHED,13268.11,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000188,Samantha Garcia,2025-07-15,27982.44,27982.44,Escrow,Posted,3AB10FEFED2F,POOL-B,,,,,UNMATCHED,27982.44,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000189,Madison Poole,2025-04-13,26717.7,26717.7,Fee,Posted,DF2D35F2FB17,POOL-A,,,,,UNMATCHED,26717.7,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000192,Karen Graham,2025-04-24,44912.18,44912.18,Principal,Posted,999205D32F66,POOL-F,,,,,UNMATCHED,44912.18,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000193,Debra Christian,2025-04-27,45070.69,28426.25,Principal,Posted,9F101131F159,POOL-D,,,,,UNMATCHED,28426.25,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000195,John Bishop,2025-04-19,17281.97,17281.97,Interest,Posted,24C8904CF60C,POOL-F,,,,,UNMATCHED,17281.97,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000196,Allen Rosales,2025-12-12,17785.87,17785.87,Escrow,Posted,2AA6D90B809B,POOL-F,,,,,UNMATCHED,17785.87,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000197,Daniel Salinas,2025-05-18,36434.81,36434.81,Principal,Reversed,571631C9D0C2,POOL-D,,,,,UNMATCHED,36434.81,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000199,Adam Vaughan,2026-02-15,44410.78,44410.78,Interest,Posted,39A483440DFD,POOL-D,,,,,UNMATCHED,44410.78,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000200,Nathan Freeman,2025-11-13,39103.84,39103.84,Fee,Posted,A234A3B556D9,POOL-D,,,,,UNMATCHED,39103.84,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000202,Ricky Davis Ii,2025-06-07,4664.93,4664.93,Escrow,Reversed,59D999BCC36B,POOL-B,REM-000062,2025-06-10,4664.93,,FUZZY,0.0,REVERSED,OTHER,Low,Manual review required
LN-000204,Joseph Coleman,2025-12-10,44978.43,29499.71,Principal,Posted,D6212E8FA16D,POOL-D,,,,,UNMATCHED,29499.71,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000205,Erin Warner,2026-01-19,30518.24,30518.24,Interest,Reversed,FDD91E0B1A36,POOL-D,,,,,UNMATCHED,30518.24,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000206,David Martinez,2025-10-17,955.25,955.25,Interest,Posted,D9CF3C2FE63E,POOL-A,,,,,UNMATCHED,955.25,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000207,Bryan Herrera,2025-07-01,5522.84,6704.69,Interest,Posted,090EB12EB033,POOL-A,,,,,UNMATCHED,6704.69,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000209,Dr. William Warren,2026-03-03,750.55,0.0,Fee,Posted,6EEA93AFB103,POOL-A,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000210,Brian Lee,2025-06-25,8460.0,8460.0,Fee,Posted,37C92CB1DEE1,POOL-E,,,,,UNMATCHED,8460.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000211,Christopher Smith,2025-08-21,27662.32,27662.32,Principal,Posted,CA6FA1D060EF,POOL-D,,,,,UNMATCHED,27662.32,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000212,Denise Mccann,2025-10-05,34748.81,34748.81,Interest,Posted,D82F750FD3EF,POOL-A,,,,,UNMATCHED,34748.81,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000213,Melissa Martinez,2026-02-21,32772.08,32772.08,Fee,Reversed,5CE048B26D64,POOL-B,,,,,UNMATCHED,32772.08,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000215,Julie Alexander,2025-09-22,35752.87,39453.17,Interest,Pending,39D84563E7F4,POOL-F,,,,,UNMATCHED,39453.17,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000218,Mark Brown,2025-11-01,37451.32,37451.32,Principal,Posted,822B85A8ED29,POOL-D,,,,,UNMATCHED,37451.32,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000219,Justin Torres,2025-05-15,32656.83,32656.83,Escrow,Reversed,0624587C4BA0,POOL-B,,,,,UNMATCHED,32656.83,REVERSED,OVER_PAY,High,Verify overpayment; apply to principal or refund
LN-000220,Bailey Duran Dds,2025-07-19,42536.56,0.0,Interest,Pending,F74BEF7D4622,POOL-C,,,,,UNMATCHED,0.0,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000221,Courtney Mills,2025-07-08,33051.84,33051.84,Interest,Posted,8DA8FD8B254A,POOL-C,,,,,UNMATCHED,33051.84,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000222,Jeremy Dalton,2025-04-16,28631.28,28631.28,Interest,Pending,6DC5ED36E0F5,POOL-F,,,,,UNMATCHED,28631.28,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
LN-000223,Elizabeth Oliver Dds,2025-09-04,5136.9,5136.9,Fee,Posted,FD18ECB64D13,POOL-F,,,,,UNMATCHED,5136.9,UNMATCHED,MISSING_REMITTANCE,High,Escalate to servicer for missing remittance
