loan_id,borrower_name,payment_date,scheduled_payment_amount,actual_payment_amount,payment_type,payment_status,bank_reference_id,pool_id
LN-000039,Elizabeth Fowler,2025-07-05,34369.53,34369.53,Fee,Reversed,60620BD467A1,POOL-E
LN-000040,Brittany Farmer,2025-09-03,22287.55,22287.55,Interest,Posted,0B132138A4F2,POOL-B
LN-000041,Paula Moreno,2025-05-10,6540.89,6540.89,Fee,Posted,5153A84B0B0F,POOL-E
LN-000042,Fred Smith,2025-05-01,25011.26,25011.26,Principal,Posted,C493691EB558,POOL-A
LN-000043,Sherry Decker,2025-09-25,2202.23,2202.23,Escrow,Reversed,368CCFC8CCC0,POOL-F
LN-000044,Anthony Humphrey,2025-05-03,45511.36,45511.36,Escrow,Posted,8911346C96A9,POOL-F
LN-000045,Angelica Tucker,2025-09-14,13309.61,10881.92,Interest,Pending,5414DF2811D8,POOL-D
LN-000046,Philip Cannon,2025-09-07,33294.85,33294.85,Escrow,Pending,D7062709547E,POOL-B
LN-000047,John Pierce,2026-01-18,15929.7,0.0,Interest,Posted,84A03C3FCEA6,POOL-F
LN-000048,Shane Henderson,2025-07-28,26243.37,26243.37,Interest,Posted,C2616AD46D0A,POOL-D
LN-000049,Joshua Blair,2025-04-06,27562.16,27562.16,Fee,Posted,7D36C3075666,POOL-D
LN-000050,Eric Carney,2025-11-08,9650.3,7260.88,Interest,Posted,F1424C4773A2,POOL-B
LN-000051,Jessica Holmes,2025-12-14,48494.44,48494.44,Fee,Pending,90D478F016D9,POOL-E
LN-000052,Danny Morgan,2025-05-17,38869.07,0.0,Escrow,Posted,DB8CAC02F5CD,POOL-E
LN-000053,Crystal Robinson,2025-09-24,47005.2,47005.2,Interest,Posted,13F2F88F9F70,POOL-E
LN-000054,Mark Perez,2025-04-24,44793.95,44793.95,Interest,Pending,2EA2AFA68994,POOL-C
LN-000055,Shannon Jones,2025-12-27,30096.05,35554.55,Principal,Posted,D4FA73659AC2,POOL-E
LN-000056,Michael Lewis,2025-08-16,46132.77,46132.77,Interest,Posted,BF8A5717B040,POOL-B
LN-000057,Timothy Duncan,2026-01-30,4880.38,4880.38,Interest,Posted,E755981CE61F,POOL-C
LN-000058,Richard Aguirre,2026-01-25,10201.15,10201.15,Principal,Posted,2CCE171ABD52,POOL-E
LN-000059,Brent Jordan,2025-09-16,2738.75,3530.72,Principal,Posted,2E170A471325,POOL-C
LN-000060,John Daniel,2026-01-04,16603.85,16603.85,Escrow,Pending,6951ACDB92FB,POOL-B
LN-000061,Victoria Garcia,2025-06-21,19739.53,19739.53,Interest,Posted,773CB1674FC6,POOL-E
LN-000062,Gerald Hensley,2026-03-10,13931.78,13931.78,Escrow,Posted,2B0E33EFBF92,POOL-A
LN-000063,Connor West,2025-04-19,41522.51,53067.06,Escrow,Posted,A7B9EF565E66,POOL-F
LN-000064,Donald Wright,2025-04-07,18159.29,21547.24,Principal,Posted,CCED3C894303,POOL-B
LN-000065,Jessica Callahan,2026-02-16,14406.26,14406.26,Fee,Posted,7BFDBE616E2A,POOL-D
LN-000066,Amber Kidd,2025-07-09,27363.46,27363.46,Escrow,Reversed,B329E5A2D4D2,POOL-D
LN-000067,Tracy House,2025-08-10,7475.75,7475.75,Fee,Posted,25CE0B6A28B5,POOL-B
LN-000068,Carol Tucker,2025-04-26,40208.75,40208.75,Interest,Posted,0446A3C1CAEC,POOL-D
LN-000069,James Brown,2025-07-12,4190.26,4190.26,Principal,Posted,42F3F2151ACF,POOL-B
LN-000070,William Baker,2025-05-05,49350.9,49350.9,Interest,Posted,1CDDD0EE9486,POOL-A
LN-000071,Jordan Henderson,2025-09-25,38726.12,38726.12,Interest,Posted,F61EB641C21E,POOL-B
LN-000072,Whitney Peters,2025-08-04,10336.43,10336.43,Principal,Posted,D1EF6469B879,POOL-E
LN-000073,Brittney Phillips,2025-11-02,773.34,773.34,Interest,Posted,A434AB044B27,POOL-E
LN-000074,Lauren Daniels,2026-02-07,40865.34,40865.34,Principal,Posted,DCA2F5EEFC59,POOL-C
LN-000075,Amy Silva,2025-09-20,35489.44,35489.44,Fee,Posted,636788BA5E22,POOL-D
LN-000076,Sarah Moore,2025-06-06,36585.85,36585.85,Interest,Posted,4125396DE7E6,POOL-F
LN-000077,Angela Lopez,2025-09-20,38677.88,38677.88,Principal,Reversed,F51EE25866C4,POOL-D
LN-000078,Megan Young,2025-09-12,4165.21,4165.21,Escrow,Posted,BD54610A9125,POOL-B
LN-000079,Steve Sanchez,2025-06-30,18244.05,18244.05,Interest,Posted,BC14B02EEB72,POOL-F
LN-000080,Lisa Barnes,2026-02-21,6235.52,6235.52,Fee,Posted,B440DD667778,POOL-F
LN-000081,Kelly Donovan,2025-07-29,43223.62,0.0,Principal,Posted,66A93D33026D,POOL-D
LN-000082,Mike Allen,2026-03-09,31353.26,31353.26,Interest,Posted,192EC8192AFA,POOL-F
LN-000083,Michael Evans,2026-02-27,16879.45,16879.45,Interest,Posted,F6FEF48DE070,POOL-F
LN-000084,Paul Jones,2026-02-09,3646.14,3646.14,Interest,Posted,A7FCCA0556F6,POOL-E
LN-000085,Zachary Ferrell,2025-04-20,15893.62,15893.62,Fee,Posted,2450ED0CB41E,POOL-A
LN-000086,Daniel Baker,2026-01-24,16596.57,16596.57,Principal,Posted,B0000DCDAFD1,POOL-B
LN-000087,Shirley Suarez,2026-02-03,36615.51,0.0,Escrow,Posted,42A3DF738D51,POOL-D
LN-000088,Christopher Bass,2025-06-10,32059.09,32059.09,Escrow,Posted,6D4CB0DBE273,POOL-E
LN-000089,Lisa Archer,2025-12-13,44417.03,44417.03,Escrow,Posted,0A8EDA83BEF4,POOL-C
LN-000090,Aimee Montoya,2025-07-19,23874.64,23874.64,Principal,Posted,716E7068CF50,POOL-F
LN-000091,Matthew Mcmillan,2025-06-07,6419.92,6419.92,Escrow,Posted,D2532134804E,POOL-F
LN-000092,Brian Rodriguez,2025-11-08,35805.62,35805.62,Fee,Posted,54D837C2124F,POOL-D
LN-000093,Denise Jacobs,2025-09-25,38158.86,38158.86,Principal,Posted,A1EED02168C8,POOL-A
LN-000094,Christina Walters,2025-07-31,28283.22,28283.22,Interest,Pending,99F1E36D60A4,POOL-A
LN-000095,John Whitehead,2026-02-07,38662.88,0.0,Fee,Posted,4F82177642FB,POOL-D
LN-000096,Anna Henderson,2026-03-07,24942.88,24942.88,Interest,Posted,402DBA6DB6FD,POOL-D
LN-000097,Aaron Wise,2025-12-25,26375.28,26375.28,Escrow,Posted,9793730869FB,POOL-E
LN-000098,Deborah Figueroa,2025-07-05,21663.28,21663.28,Fee,Reversed,0A6E3E3698F0,POOL-D
LN-000099,Jessica Smith,2026-02-28,1758.25,1758.25,Principal,Posted,5A2F15784CC2,POOL-C
LN-000100,Stephen Mckee,2025-08-28,5840.63,0.0,Fee,Posted,12D1A8378865,POOL-E
LN-000101,Sandra Aguilar,2025-04-12,2055.74,2055.74,Interest,Posted,E6D30ABC6077,POOL-F
LN-000102,Cameron Parker,2025-07-10,32002.32,0.0,Principal,Posted,3A1737224410,POOL-F
LN-000103,Rebecca Valencia,2025-03-31,16060.62,16060.62,Fee,Posted,029F10359B11,POOL-F
LN-000104,Christine Wright,2025-08-23,25674.25,25674.25,Fee,Posted,D8CA28D0E9F8,POOL-F
LN-000105,Richard Henson,2025-10-06,45424.54,54623.88,Fee,Reversed,7000AD98A14B,POOL-B
LN-000106,Marc Moore,2025-08-02,12839.97,12839.97,Fee,Reversed,B49E208CF569,POOL-C
LN-000107,Sharon Cherry,2025-04-17,20813.95,19373.66,Principal,Posted,B1B68FC1BD25,POOL-E
LN-000108,Sierra Johnson,2025-07-05,37899.78,37899.78,Interest,Posted,0AB22253909E,POOL-E
LN-000109,Evelyn Galvan,2026-01-03,11825.51,11825.51,Fee,Reversed,CD2DCA32DA84,POOL-F
LN-000110,Sharon Cochran,2025-08-23,4310.51,5127.45,Principal,Posted,D845673E1E3A,POOL-A
LN-000111,Richard Rodriguez,2025-07-01,14842.7,14842.7,Interest,Posted,BD07F89452A9,POOL-E
LN-000112,Shannon Walker,2026-02-13,8480.45,7833.12,Fee,Posted,4E287D987A42,POOL-C
LN-000113,Julia Torres,2025-11-25,46520.03,46520.03,Interest,Posted,5286E2D7398E,POOL-D
LN-000114,Crystal Johnson,2025-10-03,40501.96,40501.96,Interest,Posted,F6BF832F98DF,POOL-C
LN-000115,Garrett Lin,2026-02-07,31853.49,31853.49,Principal,Posted,FCA9834DBEE0,POOL-F
LN-000116,Diana May,2025-11-04,43637.3,54232.16,Interest,Posted,D29F252D1034,POOL-F
LN-000117,William Herrera,2025-05-27,40281.77,40281.77,Principal,Posted,DEBDE22B1A9D,POOL-B
LN-000118,Ashley Waller,2025-08-02,9735.22,9735.22,Fee,Posted,EE8E77846461,POOL-E
LN-000119,Victor Baker,2025-05-25,44681.67,44681.67,Interest,Posted,B2011D9971D6,POOL-E
LN-000120,Jeffrey Chandler,2025-07-19,27197.44,27197.44,Interest,Pending,098B0FD922A8,POOL-E
LN-000121,Larry Dixon,2025-12-27,40468.29,40468.29,Escrow,Posted,47CFC72FB027,POOL-F
LN-000122,Kenneth Scott,2025-12-20,44856.52,44856.52,Fee,Posted,7D3F96EF3BDA,POOL-E
LN-000123,April Frost,2025-07-27,16241.17,16241.17,Fee,Reversed,23B1AFB6CE7F,POOL-A
LN-000124,Michelle Harmon,2026-01-08,5947.57,5947.57,Escrow,Reversed,6A5580048543,POOL-A
LN-000125,Helen Jones,2025-10-25,11782.79,11782.79,Escrow,Posted,22DBE54B2B52,POOL-D
LN-000126,Erin Edwards,2026-01-10,21641.84,21641.84,Principal,Posted,5610EECBA662,POOL-E
LN-000127,Michelle Evans,2025-10-05,40991.73,0.0,Principal,Posted,B4D72359FFEE,POOL-B
LN-000128,Jason Powell,2025-09-16,43106.16,43106.16,Interest,Pending,24992C61C72D,POOL-D
LN-000129,Cameron Fisher,2025-07-05,844.13,844.13,Interest,Reversed,F88D3AC57D0B,POOL-F
LN-000130,Megan Orr,2025-05-24,25781.99,25781.99,Interest,Pending,F28113AB40E4,POOL-E
LN-000131,Elizabeth Kelley,2025-11-30,21161.84,21161.84,Interest,Posted,94F10E84E841,POOL-A
LN-000132,Dustin Jordan,2025-11-22,11494.34,11494.34,Principal,Posted,A5D6771802F9,POOL-B
LN-000133,Mary Marshall,2025-04-30,6433.34,5214.92,Fee,Posted,34827CEA7023,POOL-D
LN-000134,Daniel Kennedy,2025-04-08,17211.95,17211.95,Interest,Posted,52F79C81A8BA,POOL-B
LN-000135,Rebecca Jackson,2025-05-10,47174.03,47174.03,Fee,Posted,0667AED65177,POOL-E
LN-000136,Jose Schultz,2025-06-01,16498.55,16498.55,Interest,Posted,69BBBBC41550,POOL-C
LN-000137,Robert Potter,2026-01-30,26180.14,26180.14,Escrow,Posted,797D7579382D,POOL-B
LN-000138,Courtney Gonzalez,2025-06-07,35299.44,35299.44,Interest,Posted,124BF94108CB,POOL-B
LN-000139,David Alvarez,2026-02-26,18499.67,18499.67,Interest,Posted,332DD0CCA6DA,POOL-F
LN-000140,Angel Perry,2025-10-17,48603.21,48603.21,Interest,Posted,9D8E0E7653F3,POOL-A
LN-000141,Cheyenne Horton,2026-01-14,48141.14,48141.14,Principal,Posted,69A9A9A6E9AC,POOL-E
LN-000142,David Douglas Jr.,2025-04-16,12963.22,14638.85,Escrow,Posted,02889B26906E,POOL-B
LN-000143,Patricia Rodriguez,2025-09-28,25113.8,25113.8,Interest,Pending,1F8EFEC23A50,POOL-E
LN-000144,Christopher Rubio,2025-09-26,15393.48,15393.48,Interest,Posted,E9DAAE7B1F26,POOL-A
LN-000145,Amber Wright,2026-01-14,14599.6,17375.3,Fee,Reversed,5673F5D84FCD,POOL-F
LN-000146,Joyce Solis,2025-11-09,2325.9,2325.9,Escrow,Posted,DAF8584F9B50,POOL-E
LN-000147,Victoria Larson,2025-12-10,30673.43,30673.43,Interest,Posted,91C1BEF421D2,POOL-A
LN-000148,Stephanie Salazar,2025-07-21,25382.61,25382.61,Fee,Posted,E1F8FCB6A89D,POOL-A
LN-000149,Kathy Rivas,2025-12-23,3048.2,3048.2,Fee,Posted,FB0F90147726,POOL-D
LN-000150,Stephanie Manning,2025-03-20,14293.0,14293.0,Principal,Pending,D284741A6A04,POOL-F
LN-000151,David Wright,2026-02-26,45459.16,45459.16,Fee,Posted,55D59EFDE709,POOL-F
LN-000152,Pamela Boyd,2025-05-12,12358.31,12358.31,Interest,Pending,352F7730F579,POOL-E
LN-000153,Denise Jones,2026-02-27,7672.3,7672.3,Principal,Posted,6A0BE420818C,POOL-C
LN-000154,Devon Flores,2025-12-14,24727.91,0.0,Principal,Pending,F18EF546EB42,POOL-D
LN-000155,Brenda Hall,2025-07-29,49289.7,49289.7,Interest,Posted,AE6BD70B1391,POOL-F
LN-000156,Michelle Brown,2026-02-06,12481.74,12481.74,Escrow,Pending,B02AFB10AF30,POOL-A
LN-000157,Joshua Perry,2025-09-05,33770.71,33770.71,Fee,Posted,C33C186CB48F,POOL-F
LN-000158,Jason Stein,2025-05-11,38200.17,38200.17,Principal,Posted,53689F5B53F6,POOL-C
LN-000159,Melissa Gates,2025-08-12,12263.06,12263.06,Escrow,Posted,AB83790AD436,POOL-B
LN-000160,Jamie Smith,2025-10-23,36546.71,36546.71,Interest,Reversed,70D7FF8B544A,POOL-B
LN-000161,Paul Castaneda,2025-06-03,18705.27,18705.27,Fee,Posted,F481BE73BF64,POOL-F
LN-000162,Jennifer Adkins,2025-11-02,31799.14,31799.14,Fee,Posted,40F2AD971271,POOL-F
LN-000163,Lindsey Walker,2025-03-16,31859.72,31859.72,Principal,Pending,941D2E0B6728,POOL-D
LN-000164,Jeffrey Johnson,2025-07-27,27020.85,27020.85,Fee,Posted,F35571DF9B85,POOL-F
LN-000165,Michael Powell,2025-11-26,4969.34,4969.34,Fee,Posted,752D027DFCE6,POOL-C
LN-000166,John Anderson,2025-06-14,41847.47,41847.47,Fee,Posted,6DE681646962,POOL-F
LN-000167,Alyssa Long,2025-11-29,16378.61,18375.94,Fee,Posted,A9FBE331DA56,POOL-E
LN-000168,Alyssa Day,2025-05-08,9732.67,9732.67,Interest,Reversed,C310898FBC5F,POOL-C
LN-000169,Joel Williams,2026-01-29,2518.37,2518.37,Escrow,Pending,35EFA7835E6C,POOL-D
LN-000170,Daniel Murphy,2025-08-14,29749.2,29749.2,Interest,Posted,549193149307,POOL-E
LN-000171,Jamie Walton,2026-02-05,34039.44,34039.44,Interest,Reversed,0680C5F0DFAD,POOL-E
LN-000172,Darlene Miller,2025-11-29,1321.1,1321.1,Principal,Posted,BAE998105A3A,POOL-B
LN-000173,Joshua Cooke,2026-01-20,25848.61,25848.61,Fee,Posted,80D8BB5FA7D7,POOL-C
LN-000174,Matthew Harrington,2025-06-24,11711.54,11711.54,Interest,Posted,1F71C77DBA84,POOL-E
LN-000175,Nicole Herring,2025-06-01,32436.05,32436.05,Fee,Posted,CA633E9EBA4E,POOL-D
LN-000176,Alex Hernandez,2025-09-22,9131.14,9131.14,Interest,Posted,EDBC9AFB3B64,POOL-B
LN-000177,Michael Elliott,2025-06-05,34701.42,34701.42,Interest,Reversed,010FBECCE99D,POOL-E
LN-000178,Michael Wang,2025-12-16,19643.4,0.0,Principal,Pending,A91748B7E753,POOL-C
LN-000179,Lawrence Adkins,2025-12-11,46868.13,0.0,Escrow,Posted,283515AEA3D2,POOL-B
LN-000180,Robert Oconnell,2025-03-15,7307.29,7307.29,Escrow,Posted,6AAAF69B4F37,POOL-C
LN-000181,Alexander Collins,2026-01-15,17382.78,17382.78,Interest,Posted,76CA745A2C1C,POOL-C
LN-000182,Tina Sanders,2025-08-27,6116.94,6116.94,Principal,Reversed,237E8D6B223F,POOL-C
LN-000183,Angela Vaughn,2025-11-20,46272.33,0.0,Fee,Pending,D465D80F0BB5,POOL-B
LN-000184,Ashley Barton,2025-03-24,43928.3,43928.3,Fee,Posted,DA72F1B76B34,POOL-E
LN-000185,Lindsay Martinez,2025-05-11,13268.11,13268.11,Interest,Pending,CADEAD28DE03,POOL-F
LN-000186,Dr. Hannah Patterson,2025-09-16,33169.21,42255.59,Escrow,Posted,5C4EF63E0261,POOL-A
LN-000187,Jonathan Peterson,2025-08-19,40952.5,51378.78,Principal,Posted,3969FCB31856,POOL-E
LN-000188,Samantha Garcia,2025-07-15,27982.44,27982.44,Escrow,Posted,3AB10FEFED2F,POOL-B
LN-000189,Madison Poole,2025-04-13,26717.7,26717.7,Fee,Posted,DF2D35F2FB17,POOL-A
LN-000190,Jessica Gross,2025-07-16,12471.69,12471.69,Escrow,Posted,4F5592A99FBB,POOL-A
LN-000191,Debra Morton,2025-12-30,5108.59,5108.59,Fee,Posted,F350CD78F067,POOL-A
LN-000192,Karen Graham,2025-04-24,44912.18,44912.18,Principal,Posted,999205D32F66,POOL-F
LN-000193,Debra Christian,2025-04-27,45070.69,28426.25,Principal,Posted,9F101131F159,POOL-D
LN-000194,Angelica Keith,2025-11-18,31838.52,31838.52,Interest,Posted,7C2751F528DD,POOL-B
LN-000195,John Bishop,2025-04-19,17281.97,17281.97,Interest,Posted,24C8904CF60C,POOL-F
LN-000196,Allen Rosales,2025-12-12,17785.87,17785.87,Escrow,Posted,2AA6D90B809B,POOL-F
LN-000197,Daniel Salinas,2025-05-18,36434.81,36434.81,Principal,Reversed,571631C9D0C2,POOL-D
LN-000198,Spencer Haynes,2025-05-19,44906.96,44906.96,Principal,Posted,498F18368130,POOL-A
LN-000199,Adam Vaughan,2026-02-15,44410.78,44410.78,Interest,Posted,39A483440DFD,POOL-D
LN-000200,Nathan Freeman,2025-11-13,39103.84,39103.84,Fee,Posted,A234A3B556D9,POOL-D
LN-000201,Melissa Brewer,2025-12-21,32280.57,32280.57,Escrow,Pending,9D59B4654A76,POOL-F
LN-000202,Ricky Davis Ii,2025-06-07,4664.93,4664.93,Escrow,Reversed,59D999BCC36B,POOL-B
LN-000203,Elizabeth Perkins,2025-07-28,8500.62,10955.84,Interest,Posted,A0593CD7924D,POOL-C
LN-000204,Joseph Coleman,2025-12-10,44978.43,29499.71,Principal,Posted,D6212E8FA16D,POOL-D
LN-000205,Erin Warner,2026-01-19,30518.24,30518.24,Interest,Reversed,FDD91E0B1A36,POOL-D
LN-000206,David Martinez,2025-10-17,955.25,955.25,Interest,Posted,D9CF3C2FE63E,POOL-A
LN-000207,Bryan Herrera,2025-07-01,5522.84,6704.69,Interest,Posted,090EB12EB033,POOL-A
LN-000208,Cathy Robinson,2025-12-16,33343.34,33343.34,Interest,Posted,87D3387B8974,POOL-F
LN-000209,Dr. William Warren,2026-03-03,750.55,0.0,Fee,Posted,6EEA93AFB103,POOL-A
LN-000210,Brian Lee,2025-06-25,8460.0,8460.0,Fee,Posted,37C92CB1DEE1,POOL-E
LN-000211,Christopher Smith,2025-08-21,27662.32,27662.32,Principal,Posted,CA6FA1D060EF,POOL-D
LN-000212,Denise Mccann,2025-10-05,34748.81,34748.81,Interest,Posted,D82F750FD3EF,POOL-A
LN-000213,Melissa Martinez,2026-02-21,32772.08,32772.08,Fee,Reversed,5CE048B26D64,POOL-B
LN-000214,Katherine Salas,2026-02-10,11601.33,11601.33,Principal,Posted,2A36C7CD7DFF,POOL-E
LN-000215,Julie Alexander,2025-09-22,35752.87,39453.17,Interest,Pending,39D84563E7F4,POOL-F
LN-000216,Anthony Everett,2025-10-25,12243.83,12243.83,Escrow,Posted,5CA058BA3296,POOL-C
LN-000217,Rodney Morales,2025-12-04,16607.29,16607.29,Fee,Posted,97C00B71C37D,POOL-D
LN-000218,Mark Brown,2025-11-01,37451.32,37451.32,Principal,Posted,822B85A8ED29,POOL-D
LN-000219,Justin Torres,2025-05-15,32656.83,32656.83,Escrow,Reversed,0624587C4BA0,POOL-B
LN-000220,Bailey Duran Dds,2025-07-19,42536.56,0.0,Interest,Pending,F74BEF7D4622,POOL-C
LN-000221,Courtney Mills,2025-07-08,33051.84,33051.84,Interest,Posted,8DA8FD8B254A,POOL-C
LN-000222,Jeremy Dalton,2025-04-16,28631.28,28631.28,Interest,Pending,6DC5ED36E0F5,POOL-F
LN-000223,Elizabeth Oliver Dds,2025-09-04,5136.9,5136.9,Fee,Posted,FD18ECB64D13,POOL-F
LN-000224,Theresa Clark,2025-03-25,18701.93,18701.93,Principal,Reversed,16320D6D952D,POOL-E
LN-000225,Matthew Moore,2026-01-10,13627.52,13627.52,Escrow,Posted,02D1F27E1C67,POOL-D
LN-000226,Benjamin Smith,2025-12-23,12577.49,12577.49,Principal,Reversed,2F15E3997AA3,POOL-A
LN-000227,Kirk Carter,2025-07-10,48664.02,62448.39,Fee,Posted,34CF6BD89623,POOL-F
LN-000228,Michael Warner,2026-01-10,19958.34,19958.34,Principal,Posted,03148221414C,POOL-B
LN-000229,Michael Bradshaw,2025-07-05,44656.3,44656.3,Fee,Posted,82328C08AB5F,POOL-B
LN-000230,Lori Guerrero,2025-03-18,31741.36,31741.36,Interest,Posted,C8822E30CC17,POOL-B
LN-000231,Jessica Stephens,2025-04-20,39843.16,39843.16,Escrow,Posted,BD3EA06BCB5D,POOL-F
LN-000232,Susan Serrano,2026-03-12,25380.54,25380.54,Interest,Posted,C909C14EF24B,POOL-F
LN-000233,Christopher Parker,2026-02-01,29056.74,0.0,Principal,Posted,2293E8DAE148,POOL-B
LN-000234,Laura Roberts,2025-04-14,24879.63,24879.63,Interest,Posted,EFBDB20BE1AC,POOL-F
LN-000235,Michael Lyons,2025-07-10,10164.53,10164.53,Escrow,Posted,DE5996B3D2FA,POOL-A
LN-000236,Kathryn Snyder,2025-04-18,36261.38,36261.38,Interest,Posted,9FB1AACE3966,POOL-A
LN-000237,Andrew Reynolds,2025-03-31,14398.23,14398.23,Escrow,Reversed,63D868B9AEDB,POOL-E
LN-000238,David Davis,2025-08-31,1703.64,1703.64,Escrow,Posted,B5738A5C2F0E,POOL-D
LN-000239,Sara Johnston,2025-04-20,32450.88,32450.88,Interest,Posted,51805F5345FF,POOL-A
LN-000240,Yvonne Chambers,2025-12-03,9266.98,10048.36,Fee,Posted,34B6CF2D8494,POOL-E
LN-000241,Andrew Avila,2025-07-14,47052.7,47052.7,Principal,Posted,4AFB46B6EEF8,POOL-C
LN-000242,Matthew Moon,2025-08-04,47719.46,47719.46,Fee,Posted,35F74F2CDBA3,POOL-D
LN-000243,Kevin Walters,2026-02-20,45785.79,45785.79,Fee,Posted,402C0830F44D,POOL-A
LN-000244,Brandon Bailey Md,2025-11-18,18822.86,0.0,Interest,Posted,5D0F89EA4116,POOL-C
LN-000245,Shannon Rivera,2025-07-02,1265.1,1265.1,Principal,Reversed,657E444B5DDF,POOL-E
LN-000246,Donna Landry,2025-12-16,46451.77,46451.77,Principal,Posted,1CD390C9E456,POOL-A
LN-000247,Krista Gibson,2025-05-21,21695.12,21695.12,Fee,Posted,D1AA730B25EC,POOL-A
LN-000248,Frank Cordova,2026-01-01,48349.41,0.0,Interest,Posted,E31A033CD0CE,POOL-F
LN-000249,Jose Travis,2026-01-04,48199.19,48199.19,Principal,Posted,6CB50865AB5B,POOL-C
LN-000250,Kimberly Gutierrez,2025-11-12,42723.97,42723.97,Fee,Pending,DBCE02016915,POOL-A
LN-000251,Isaiah Avila,2025-07-17,15075.22,15075.22,Principal,Posted,E473AB56DF30,POOL-B
LN-000252,Olivia Harris,2025-11-12,19562.34,19562.34,Interest,Posted,3838F1ACEB53,POOL-F
